HITID,CASE,ENFORCEMENT_RESULT,Worker1,Answer1,Worker2,Answer2,Agreement,Answer,Date,,Answer3
3R5OYNIC2C994WMCNI1D2ZFACAWTPG,1,"In October 2006, SSI Korea pleaded guilty to violating the anti-bribery and accounting provisions of the FCPA and agreed to a $7.5 million criminal fine with the DOJ.  In October 2006, Schnizter Steel entered into a three-year deferred prosecution agreement with the DOJ and consented to a SEC cease-and-desist order and disgorgement and pre-judgment interest of $7.7 million.  The company agreed to retain a compliance monitor for three years.  According to the company, the deferred prosecution agreement expired by its terms on October 15, 2009.In June 2007, Si Chan Wooh pleaded guilty to conspiring to violate the FCPA and entered into a cooperation agreement with the DOJ.  In August 2007, without admitting or denying the allegations, Wooh settled a civil suit with the SEC, agreeing to approximately $40,000 in disgorgement, pre-judgment interest, and civil penalties.  Wooh also agreed to an order enjoining him from future violations.  Wooh's sentencing following his guilty plea was repeatedly delayed.  Finally, on October 14, 2011, the prosecutors filed a motion to drop its criminal information against Wooh, citing prosecutorial discretion.  It appears that the DOJ decided to dismiss following a protracted legal battle over how the case was handled and information from a FBI agent that Wooh was in fact a whistleblower in the case.  In December 2007, Robert W. Philip, without admitting or denying the allegations, settled a civil suit with the SEC, agreeing to pay $169,864 in disgorgement of bonuses, $16,537 in prejudgment interest, and a civil penalty of $75,000.  Philip also agreed to an order enjoining him from future violations.",A1012N48J0Z65N,Yes,A35DS4T8H1MWYD,Yes,Yes,Yes,2015-04-17 04:04:45 UTC,,Yes
3ZZAYRN1I6RRJWAB8IOYDZAK250TOZ,2,"On 18 July 2001, without admitting or denying the allegations, ABNH consented to the entry of a cease-and-desist order enjoining the company from violating various federal securities laws, including the FCPA.  Additionally, the company consented to a USD 75,000 civil penalty. On 17 July 2001, Cantor pleaded guilty to a four-count information charging that he conspired to commit securities fraud, falsified corporate books and records, provided false statements to auditors, and violated the FCPA.  He has not yet been sentenced.On 10 April 2003, without admitting or denying the allegations, Cantor consented to an order permanently enjoining him from violating and/or aiding and abetting violations of various federal securities laws, including the FCPA.  Cantor also consented to a ten year officer and director bar.  This was a refiling of earlier charges against Cantor in 2001, which had been voluntarily dismissed without prejudice.",AS9E0S6DBSWH7,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 04:03:09 UTC,,Yes
32ZCLEW0BZKFQTQ7BON90TS1E85JP1,4,"On 28 July 2009, without admitting or denying the SEC's allegations, Avery consented to the entry of a final judgment requiring the company to pay a civil penalty of USD 200,000.  Avery also agreed to the entry of a cease-and-desist order and to disgorgement of USD 273,213, together with USD 45,257 in prejudgment interest.",A1012N48J0Z65N,Yes,A2WNW8A4MOR7T7,Yes,Yes,Yes,2015-04-17 03:58:18 UTC,,No
3NSCTNUR2ZN0WQ5KX31I9OK1XLBA5R,5,"On 26 April 2007, BHSI pleaded guilty to violations of the anti-bribery provisions of the FCPA, conspiracy to violate the FCPA, and aiding and abetting the falsification of the books and records of its parent company Baker Hughes.  BHSI agreed to pay an USD 11 million criminal fine, serve a three-year term of organizational probation, and adopt a comprehensive anti-bribery compliance program.  Simultaneously, Baker Hughes entered into a two-year deferred prosecution agreement with the DOJ regarding the same underlying conduct, accepting responsibility for the conduct of its employees.  Baker Hughes agreed to hire an independent monitor for three years and to cooperate with the DOJ in its ongoing investigations.  Also on 26 April 2007, without admitting or denying the SEC's allegations, Baker Hughes agreed to the entry of a judgment ordering it to comply with the SEC cease-and-desist order issued on 12 September 2001 and permanently enjoining it from future violations of the FCPA's book and records and internal controls provisions.  Baker Hughes agreed to pay USD 19,944,778 in disgorgement, USD 3,133,237.41 in prejudgment interest, and USD 10,000,000 in civil penalties.  It appears that Roy Fearnley has yet to reach a settlement with the SEC regarding the charges filed against him in the complaint.At the time, the USD 44 million in combined fines and penalties was the largest monetary sanction ever imposed in an FCPA case.On 28 April 2009, upon motion by the DOJ, the U.S. District Court for the Southern District of Texas dismissed with prejudice the charges against Baker Hughes, finding that the company had fully complied with all of its obligations under the deferred prosecution agreement.",A1012N48J0Z65N,Yes,A35DS4T8H1MWYD,Yes,Yes,Yes,2015-04-17 04:00:54 UTC,,Yes
32W3UF2EZOL6TMYI3CEZAR4BXS0C4P,6,"On 15 January 2002, without admitting or denying the allegations, BellSouth settled a civil action with the SEC under which BellSouth was ordered to pay a USD 150,000 civil penalty.  BellSouth also consented to the entry of a cease-and-desist order in a related proceeding.  The SEC complaint and cease-and-desist order found that BellSouth violated the books and records and internal controls provisions of the FCPA.",A2WGW5Y3ZFBDEC,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 03:55:24 UTC,,No
34R3P23QHS19JWSIZAYJGAKIUD4WH4,7,"On 10 March 2004, without admitted or denying the allegations, BJ Services consented to the entry of the cease-and-desist order by the SEC.  In light of BJ Services's prompt remedial actions and cooperation with the SEC, the company received no monetary penalty.  BJ Services also undertook certain remedial actions immediately following its internal investigation, including:  (i) arranging for the proper classification of the equipment associated with the January 2001 payment; (ii) revising the accounting treatment of the subject payments and including the appropriate supporting documentation in the accounting records; (iii) replacing the management of its Latin American region; (iv) expanding its existing corporate internal audit department and adding an additional audit manager in its Latin American region reporting directly to the BJ Services' Director of Internal Audit; (v) retaining an additional independent auditor to conduct a forensic audit of its books and records in Argentina; and (vi) adopting an improved and expanded FCPA education and prevention program for all of its regions worldwide.",A2R0YYUAWNT7UD,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 03:56:21 UTC,,I can't tell
3Z56AA6EK40XHVENZP1SALT1NXAM62,8,"On 26 September 2007, without admitting or denying the findings, Bristow consented to the entry of an administrative cease-and-desist order from the SEC.  No financial penalties were imposed.",A2WGW5Y3ZFBDEC,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 04:05:06 UTC,,Yes
3I7SHAD35MWGLVSSIZ6KGZTXI8UM71,9,"On 3 October 2001, without admitting or denying the allegations, Chiquita consented to the entry of a cease-and-desist order.  Under a settled complaint filed by the SEC on the same day, Chiquita agreed to pay a USD 100,000 civil penalty.",A2WGW5Y3ZFBDEC,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 03:57:35 UTC,,I can't tell
3UOMW19E6D6OP52IHHX9FJAPXOVC5U,10,"In 1998, CSS and Crites each pleaded guilty to a three-count information containing charges of conspiracy to violate the FCPA, substantive violations of the FCPA, and bribery of a U.S. public official.  Crites was sentenced to three years of probation and 150 hours of community service.  CSS was sentenced to a fine of USD 1,500 and one year of probation.",A1012N48J0Z65N,Yes,AS9E0S6DBSWH7,Yes,Yes,Yes,2015-04-17 03:59:50 UTC,,Yes
3NBFJK3IOHINERO5OIPREGVVCBSOGL,11,"On 27 August 2008, without admitted or denying the SEC's allegations, Con-way agreed to the entry of a cease-and-desist order and to a USD 300,000 civil penalty.",A2WGW5Y3ZFBDEC,No,A1012N48J0Z65N,Yes,No,no_agreement,2015-04-17 04:09:51 UTC,,I can't tell
307FVKVSYRF0H53MCV6OU5CXWH947O,12,"On 25 July 2007, Delta & Pine and Turk Deltapine settled with the SEC, jointly agreeing to pay a USD 300,000 civil penalty.   On 26 July 2007, the SEC filed a cease-and-desist order against the two companies, under which Delta & Pine agreed to retain an independent consultant for a one-year period to review and make recommendations to enhance the company's compliance program.",A1012N48J0Z65N,Yes,A35DS4T8H1MWYD,Yes,Yes,Yes,2015-04-17 04:07:03 UTC,,No
3QGTX7BCHP21XYDS9VHHQHBA66HZ5G,13,"On 13 February 2007, without admitting or denying the allegations in the SEC's complaint, Dow consented to pay a USD 325,000 civil penalty.  In a related proceeding on the same day, without admitting or denying the SEC's findings, Dow consented to the entry of a cease-and-desist order related to the same conduct.  The SEC recognized Dow's remedial efforts and cooperation with the Commission staff.  India's Central Bureau of Investigation (""CBI"") is currently investigating DE-Nocil, as well as the company's product formulators in India, Agro Pack and Crop Health.  On 20 September 2010, India's Ministry of Agriculture blacklisted Dow AgroSciences (DE-Nocil's successor) for five years.  A special court of India's Central Bureau of Investigation (""CBI"") had earlier that year found Dow AgroSciences guilty bribing a senior central government employee and his aides.  CBI recommended that the firm be blacklisted.",A2WGW5Y3ZFBDEC,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 03:52:22 UTC,,I can't tell
32TMVRKDGNY4HJ85M0YU858S71F48B,14,"On 11 September 2009, following a two-and-a-half week trial in the U.S. District Court for the Central District of California, a federal jury found Gerald and Patricia Green guilty of conspiracy and substantive violations of the FCPA and money laundering laws.  Patricia Green was also found guilty of falsely subscribing U.S. income tax returns in connection with the same set of conduct.  The conspiracy and substantive FCPA charges each carry a maximum penalty of five years in prison, while each of the money laundering charges carry a maximum penalty of up to twenty years in prison.  The false subscription of a U.S. income tax return charge carries a three-year maximum penalty and a fine not greater than USD 100,000.  In its 14 December 2009 response to the pre-sentence report for Gerald Green, the government argued that his sentencing range should be life in prison.  On 12 August 2010, the Greens were each sentenced to six months in prison followed by six months of home confinement and were each ordered to pay USD 250,000 in restitution.  After serving their six month terms, they were released from federal custody in May 2011.  The government initially appealed the short sentences but then withdrew the appeal on 23 August 2011.  The government did win a forfeiture count, leaving the Greens indigent.  The Greens appealed the restitution order of USD 250,000 to the U.S. Court of Appeals for the Ninth Circuit,  and the Ninth Circuit affirmed the District Court ruling on 11 July 2013. On 19 January 2010, an indictment against former TAT governor Juthamas Siriwan and her daughter, Jittisopa Siriwan, was unsealed in U.S. District Court in Los Angeles.  The indictment charges the Siriwans with conspiracy to commit money laundering, transporting funds to promote unlawful activity (bribery of a foreign official), and aiding and abetting.  If convicted, they each face up to twenty years in prison.  Juthamas Siriwan also faces prosecution in Thailand. On 11 January 2013, prosecutors in the U.S. filed a supplemental brief asking that the charges against Siriwan and her daughter, Jittsopa Siriwan, remain open pending the unfreezing of extradition proceedings in Thailand.  The extradition process was put on hold while Thai authorities prepare their own case against the Siriwans.  In their court filing, U.S. prosecutors noted that they had received a diplomatic note on 14 December explaining that the Anti-Corruption Commission of Thailand was planning to file criminal charges against Juthamas Siriwan.",A35DS4T8H1MWYD,Yes,AS9E0S6DBSWH7,Yes,Yes,Yes,2015-04-17 04:07:14 UTC,,Yes
3FULMHZ7OUXJ28A9G18DDN9NR654M0,15,"On 11 February 2009, KBR LLC pleaded guilty to conspiracy to violate the FCPA and to four counts of violating the FCPA's anti-bribery provisions.  Under the plea agreement, KBR LLC agreed to pay a USD 402 million criminal fine and to retain an independent compliance monitor for a three-year period.  The Company also agreed to cooperate with the DOJ in its ongoing investigations.  It appears that Halliburton, KBR LLC's former parent company, will in fact pay all or most of the USD 402 million fine on behalf of KBR LLC, due to an indemnification agreement signed at the time of KBR LLC's separation from Halliburton in January 2009.  Also on 11 February 2009, without admitting or denying the SEC's allegations, KBR, Inc. and Halliburton consented to the entry of an order that (i) permanently enjoins KBR, Inc. from violating the anti-bribery and books and records provisions of the FCPA, and from aiding and abetting violations of the books and records and internal controls provisions; and (ii) permanently enjoins Halliburton from violating the books and records and internal controls provisions of the FCPA.  The two companies were also ordered to disgorge USD 177 million in ill-gotten profits.  An independent monitor was imposed on KBR, Inc. for a three-year period and Halliburton was required to retain an independent consultant to review its FCPA policies and procedures.  Halliburton and the KBR entities agreed to pay total penalties of USD 579 million to settle the DOJ and SEC enforcement actions.  Previously, on 3 September 2008, the DOJ filed criminal charges against KBR, Inc.'s former CEO, Albert ""Jack"" Stanley, for conspiring to violate the FCPA and conspiring to commit mail and wire fraud.  Stanley pleaded guilty to one count of each charge.  He faces a possible sentence of seven years in prison and payment of USD 10.8 million in restitution.  Stanley's sentencing was deferred until his cooperation with the DOJ in its ongoing investigation was complete.  He is currently awaiting sentencing.Also on 3 September 2008, the SEC charged Stanley with violations of the anti-bribery and books and records and internal controls provisions of the FCPA in connection with his role in the bribery scheme.  Without admitted or denying the SEC's allegations, Stanley consented to the entry of a civil injunction and agreed to cooperate in the SEC's ongoing investigation.   On 17 February 2009, two UK nationals, Jeffrey Tesler and Wojciech Chodan, were indicted by a federal grand jury in Houston, Texas in connection with their participation in the bribery scheme.  Tesler, a London lawyer, was allegedly one of the agents hired by the four-company joint venture to funnel bribes to high-ranking Nigerian government officials.  Chodan was a former executive and consultant of a KBR, Inc.'s UK subsidiary.  The indictment was unsealed on 5 March 2009 in connection with the U.S. government's extradition request and charged Tesler and Chodan with one count of conspiracy to violate the FCPA and ten substantive counts.  On 25 March 2010, District Judge Caroline Tubbs decided at Westminster Magistrates' Court that Tesler be extradited to the United States to stand trial. He had argued that the extradition request should be denied because he would no longer be able to receive a fair trial in the United States.  Tesler appealed the decision, but on 20 January 2011, the UK High Court ruled that it could go forward.   Tesler was formally extradited on 10 March 2011.  On 11 March 2011, Tesler pleaded guilty in U.S. District Court in Houston to one count of conspiracy and one count of violating the FCPA. As part of his plea agreement, Tesler agreed to forfeit USD 148,964,568.  At his sentencing, he faces faces a maximum penalty of five years in prison on the conspiracy charge, and five years in prison on the FCPA violation charge. On 20 April 2010, Judge Tubbs ruled that Chodan be extradited to the U.S.  On 6 December 2010, following his extradition to the United States, Wojciech Chodan pleaded guilty to one count of conspiracy to violate the FCPA.  At his sentencing, Chodan faces a maximum penalty of 60 months in prison.  As part of his plea agreement, he agreed to forfeit USD 726,885.On 23 October 2009, Halliburton disclosed in an SEC filing that the UK's Serious Fraud Office (""SFO"") may bring civil claims or criminal charges against it under various UK laws.  According to Halliburton, the SFO is focused on the role of M.W. Kellogg Limited (""MWKL""), a UK subsidiary of KBR, in the TSKJ joint venture.  Halliburton also said it understood that the Bonny Island project is under investigation in France, Nigeria, and Switzerland as well, and could also result in third-party claims.The press reported that Nigeria's Economic and Financial Crimes Commission (""EFCC"") had arrested ten Halliburton employees in Nigeria during a raid of the offices of Halliburton Energy Services Nigeria Limited in Lagos on 25 November 2010.   The EFCC also arrested one employee each from Saipem Contracting Nigeria and Technip Offshore Nigeria.  On 7 December 2010, the EFCC reportedly filed corruption charges against Halliburton, former U.S. Vice President Dick Cheney (who was the CEO of Halliburton during the period at issue), Albert Stanley (former CEO of KBR), David Lesar (current CEO of Halliburton) and William Utt (current CEO of KBR).  Technip, Snamprogetti and JGC Corp. were reportedly also charged on the same day.  The case number is Federal Republic of Nigeria v. Halliburton and others, CV/435/10, High Court of Justice, Abuja Judicial Division (Abuja).On 21 December 2010, Halliburton reported that it reached a settlement with the Nigerian government, agreeing to pay a USD 32.5 million penalty and USD 2.5 million in legal expenses (the amount is significantly less than the supposed USD 120 million fine reported in the press previously).  Halliburton also agreed to assist the Nigerian government in recovering frozen assets in Switzerland.  In exchange, Nigeria agreed to withdraw all lawsuits and charges against KBR and Halliburton corporate entities and associated persons.  According to press reports, former U.S. President George H. W. Bush and former Secretary of State James Baker assisted with the settlement negotiations.  Former Vice President Dick Cheney had been charged by the Nigerian authorities as a former Halliburton executive.   On 20 December 2010, Saipem announced that Snamprogetti had entered into a settlement agreement and non-prosecution agreement with the Federal Government of Nigeria to resolve the investigation.  Snamprogetti agreed to the payment of a criminal penalty of USD 30 million, along with USD 2.5 million in reimbursement for legal costs and expenses incurred by the Nigerian authorities.  Nigeria agreed to dismiss all charges against Snamprogetti and to renounce to any civil claims and criminal charges in any jurisdiction.On 16 February 2011, following a High Court Order issued under Part 5 of the UK's Proceeds of Crime Act of 2002, the SFO announced a civil settlement in which MWKL will pay approximately GBP 7 million in recognition of funds MWKL was due to receive.  The SFO recognized that MWKL took no part in the criminal activity which generated the funds, but rather was used by its parent company, which participated in the joint venture and bribery scheme to bid for contracts on Bonny Island.  The agreement follows MWKL's self-reporting to the SFO in October 2009 and will lead to payment within fourteen (14) days in full and final settlement of the case.  The agreement also insures MWKL will pay the costs of the investigation, and MWKL will overhaul its internal audit and control measures to ensure its compliance systems are in accordance with UK law.  On 22 February 2012, Wojciech Chodan was sentenced to one year of unsupervised probation by the U.S. District Court for the Southern District of Texas. Chodan was also fined USD 20,000.  He had pleaded guilty to conspiracy charges under the FCPA in December 2010, and could have received up to five years in prison.  Chodan's probation allows him to return to his residence in the UK.  The following day, on 23 February 2012, the judge in the case sentenced Jeffrey Tesler, a lawyer and consultant based in the UK who also pleaded guilty last year to violating the FCPA, to twenty-one months in prison, and two additional years of supervised probation.  Mr. Tesler had already agreed to forfeit approximately USD 150 million held in Swiss and Israeli bank accounts, at the time of the original plea agreement in March 2011 (this was the largest individual forfeiture to-date under the FCPA). In November 2012, a French court investigating Mr. Tesler's activity agreed to postpone a hearing in the case for one year, until 11 December 2013, after Tesler's scheduled release from jail in October 2013.Albert ""Jack"" Stanley, who pleaded guilty in 2008, was sentenced by Judge Keith B. Ellison to thirty months in prison, followed by three years of supervised probation, on 23 February 2012.  When he pleaded guilty in 2008, Stanley was ordered to pay USD 10.8 million in restitution for the kickbacks he admitted to having taken.  The judge in the case, Keith B. Ellison, agreed to allow Stanley to pay the USD 1.55 million remaining in USD 1,000 monthly installments following his release from prison.  Stanley is 69 years old in 2012. In its SEC Form 8-K filed on 19 July 2012, Halliburton announced that earlier in the month, on 9 July, the 165th Judicial District Court of Harris County, Texas had issued an order preliminarily approving the proposed settlement of a derivative suit filed against Halliburton by some of its shareholders.  The derivative action had been filed in 2009 against current and former Halliburton directors and officers for violations of the FCPA while KBR, Inc. was working as a government contractor in Iraq, illegal kickbacks, fraud in government contracts, and prohibited activity in Iran. The proposed settlement was signed by the parties in June.  In it, the Company expressly denies wrongdoing by it or the individual officers and directors named, and requires that the settlement not be construed as an admission by any of the defendants.  The settlement provides for mandatory FCPA and UK Bribery Act training, revisions to the Company's code of business conduct, clawbacks against the officers and directors, limitations on discretionary payments to officers and the payment of legal expenses, and ongoing review and modifications of the compliance program and code of business conduct.In its 10-K Form submitted to the SEC on 20 February 2013, KBR, Inc. reported that its independent compliance monitor has ""certified that KBR's current anti-corruption compliance program is appropriately designed and implemented to ensure compliance with the FCPA and other applicable anti-corruption laws.""On 20 May 2014, lawyer Jeffrey Tesler was disbarred by the UK Solicitors Regulation Authority.",A35DS4T8H1MWYD,Yes,AS9E0S6DBSWH7,Yes,Yes,Yes,2015-04-17 04:06:35 UTC,,Yes
3IZVJEBJ6AKXG2D6EERMINPA21SZ6W,16,"On 30 July 2009 H&P; settled with the DOJ, entering into a two-year non-prosecution agreement and agreeing to pay a USD 1 million penalty.  On the same day, H&P; also agreed to the entry of a SEC cease-and-desist order, agreeing to pay USD 375,000 in disgorgement of profits, including pre-judgment interest.",A1012N48J0Z65N,Yes,A35DS4T8H1MWYD,Yes,Yes,Yes,2015-04-17 03:56:51 UTC,,I can't tell
3EHVO81VN5LGIVCF2M9YNKUOY0V1HA,17,"On 10 December 2008, Hioki pleaded guilty to two felony counts: conspiracy to violate the Sherman Act and conspiracy to violate the FCPA.  Hioki was sentenced to two years in jail and fined USD 80,000. Hioki was the ninth individual to plead guilty in the marine house bid-rigging investigation and the first individual to plead guilty in the FCPA conspiracy.  He agreed to cooperate in the DOJ's ongoing antitrust and FCPA investigations.",A1012N48J0Z65N,Yes,A35DS4T8H1MWYD,Yes,Yes,Yes,2015-04-17 04:04:31 UTC,,Yes
3LG268AV386SRQKUAFG788FOAIXREG,18,"On 21 December 2000, without admitting or denying the SEC's allegations, IBM consented to the entry of a cease-and-desist order and a final judgment permanently enjoining the company from future violations of the FCPA's books and records provisions.  IBM was ordered to pay a USD 300,000 civil penalty.In July 1997, an Argentine appeals court overturned the bribery charges against BNA and IBM-Argentina employees, leaving only a lesser fraud charge in place.",A2WGW5Y3ZFBDEC,No,A1012N48J0Z65N,Yes,No,no_agreement,2015-04-17 04:06:23 UTC,,No
3KTZHH2ONIFKL9XBS4YQUZPSTS0M8O,19,"On 11 February 2009, without admitting or denying the allegations in the SEC complaint, ITT consented to the entry of final injunction permanently enjoining the company from future violations of the FCPA's books and records and internal controls provisions and ordering the company to pay disgorgement of USD 1,041,112, along with prejudgment interest of USD 387,538.11.  ITT also agreed to pay a USD 250,000 civil penalty.",A2WGW5Y3ZFBDEC,No,A1012N48J0Z65N,Yes,No,no_agreement,2015-04-17 03:59:06 UTC,,No
3XJOUITW8URU48NRNVG2245KH6ITQ7,20,"On 31 July 2009, without admitting or denying the SEC's allegations, NSP, Faggioli and Huff consented to the entry of final judgments enjoining each defendant from future violations of the FCPA's books and records and internal controls provisions and certain other provisions of the federal securities laws.  NSP agreed to pay a civil penalty of USD 600,000.  Faggioli and Huff each agreed to pay a civil penalty of USD 25,000.",A2WGW5Y3ZFBDEC,No,A35DS4T8H1MWYD,Yes,No,no_agreement,2015-04-17 04:05:26 UTC,,No
