HITID,CASE,COMPANY,HOW_CONDUCT_WAS_DISCOVERED,Worker,Answer,Date
3TLFH2L6Y9ODCPL6LKQ16M7H0QG2TT,1,SCHNITZER STEEL,"In May 2004, Si Chan Wooh, the former Executive Vice President and head of SSI International (Schnitzer Steels Tacoma, WA-based subsidiary which oversaw SSI Korea) disclosed the improper payments to Schnitzer Steel's compliance department, prompting an internal investigation into possible FCPA violations.  At that time, Robert W. Philip, Schnitzer Steels former Chairman and CEO, prohibited any further payments but nonetheless authorized Wooh to pay two additional bribes that the company previously had promised private customers in South Korea.  Philip also authorized increased entertainment expenses in lieu of cash payments to its private and government-owned scrap metal customers.  As a result, Schnitzer Steel employees gave managers of the company's scrap metal customers additional gifts, including gift certificates worth $10,000 and a watch worth $2,400.After the internal investigation began, but before Schnitzer Steel had issued a directive to its employees to preserve documents related to the scrap metal transactions, Wooh authorized SSI Korea employees to destroy documents concerning the improper payments.During the period of the conduct, Schnitzer Steel provided no training or education to any of its employees, agents or subsidiaries regarding the requirements of the FCPA, nor had the company established a program to monitor its employees, agents and subsidiaries for compliance with the FCPA.Schnitzer Steel self-disclosed to the DOJ and SEC.",A2QLSHXNCHBRN4,Yes,2015-04-07 23:45:37 UTC
33NKDW9FFXIXROMSNNG47219PDGXCF,2,AMERICAN BANK NOTE,"From 1996 through 1998, ABNH and Joshua Cantor, the former president and director of ABNH (and the former executive vice president of ABNH's parent, American Banknote Corporation (""ABN""), were involved in a scheme to fraudulently inflate the revenues and net income of ABNH and ABN in order to meet the earnings forecasts and condition the market for ABNH's initial public offering. In 1998, ABNH and Cantor violated the anti-bribery and books and records and internal controls provisions of the FCPA by making USD 239,000 in improper payments to one or more government officials in Saudi Arabia.  One of ABNH's sales agents had informed an ABNH employee of an opportunity to bid on a contract to produce holograms for a commemorative banknote for the Saudi Arabian Monetary Agency (SAMA).  In an effort to win the contract, Cantor, with the authorization of a senior officer and at his direction, authorized and directed an ABNH employee to wire USD 239,000 to a Swiss bank account for the benefit of the Director of the Issues and Vaults Department of SAMA and possibly other Saudi government officials.  The money was wired and ABNH accounted for this payment as a consulting fee.  This USD 239,000 payment comprised nearly 40% of the value of the contract being sought.  SAMA awarded the contract to ABNH, which subsequently supplied approximately 105 million holograms in connection with the commemorative banknote project.",A1NM7ZPZ3NH412,No,2015-04-07 23:40:21 UTC
3X55NP42EOG45FOI83VMKMBCH1VP3M,4,AVERY DENNISON,"Avery's Asia Pacific Group discovered the kickback arrangement with the Wuxi Institute in September 2004, after which Avery conducted an internal review of the Reflectives Division and another division of Avery China.  Avery self-disclosed the possible improper payments to the SEC in 2005.  After making its voluntary disclosure, Avery discovered the additional instances of improper payments made by the acquired companies in Indonesia, Pakistan and China.  The improper payments made by Paxar Indonesia were uncovered through a whistleblower; Paxar Pakistans payments were uncovered during an internal audit review; and the payments made by Paxar China were uncovered during the course of a global trade compliance review that included in-depth FCPA reviews in ten high risk countries.",A2QLSHXNCHBRN4,Yes,2015-04-07 23:40:33 UTC
3AQN9REUTFGWWLIGSFXHAMQ0CJNDY2,5,BAKER HUGHES,"The improper conduct was discovered after an ex-employee filed suit against Baker Hughes in 2002 alleging that he lost his job because he refused to go along with a bribery scheme in Nigeria.  The filing of this suit prompted Baker Hughes' board to hire outside counsel to conduct an investigation into the charges, which ultimately lasted for five years and unearthed several violations in multiple countries.   Baker Hughes self-disclosed the violations the SEC and DOJ.  According to the DOJ, Baker Hughes conducted an extensive and thorough internal investigation of its business practices in Kazakhstan and throughout its high-risk global operations and has implemented significant remedial steps and improvements to its controls.",A18TCR555RWUZV,Yes,2015-04-07 23:41:39 UTC
3PKJ68EHDNWNDCSJSBF4RKQAR77JHN,6,BELLSOUTH,"According to the SEC's complaint, between September 1997 and August 2000, former senior management of BellSouth's Venezuelan subsidiary, TelCel, authorized payments totaling approximately USD 10.8 million to six offshore companies.  These payments were then improperly recorded as bona fide disbursements in Telcel's books and records, based on fictitious invoices.  Telcel's internal controls failed to detect the payments for at least two years and BellSouth was unable to reconstruct the circumstances or purpose of the Telcel payments, or identify their ultimate recipients.  The SEC noted that Telcel was Venezuela's leading wireless provider at the time and contributed more revenue to BellSouth's Latin American Group segment than any of its other Latin American operations.  The SEC also alleged that BellSouth's Nicaraguan subsidiary, Telefonia, improperly recorded payments made to the wife of the Nicaraguan legislator who chaired the Nicaraguan legislative committee overseeing telecommunications in the country.  BellSouth had acquired a 49% interest in Telefonia in 1997 with an option to acquire an additional 40%.  BellSouth's subsidiary, BSI, obtained operating control of the company and its board.  BellSouth sought to exercise its 40% option but could only do so if Nicaragua repealed its law prohibiting majority foreign ownership in local telecommunications companies.  In October 1998, Telefonia retained the legislator's wife (who had prior financial and operations experience in the telecommunications area, but no prior legislative experience) as a lobbyist for the repeal of the foreign ownership restriction.In May 1999, Telefonia terminated the lobbyist and in June 1999 paid her a severance of USD 60,000, recording the sum as consulting services and a severance payment.  The legislative amendment to repeal the foreign ownership restriction was referred to the Nicaraguan National Assembly in September and was passed in December 1999.  BellSouth increased its ownership in Telefonia to 89% in June 2000.",A2QLSHXNCHBRN4,No,2015-04-07 23:44:41 UTC
3R868ACW4SCZDV2CQR08UE2ZV57GZ6,7,BJ SERVICES (ARGENTINA),"In June 2002, in the course of investigating the possible unauthorized use of funds in Argentina by BJ Services and BJSA personnel, senior management at BJ Services learned that FCPA violations may have occurred in the country.  BJ Services began an internal investigation into these payments and their accounting, engaging outside counsel in both the U.S. and Argentina.  BJ Services disclosed the matter to its outside auditors and its full board of directors.  Upon completion of the internal investigation, BJ Services made a voluntary disclosure to the SEC.  The company informed the SEC of the results of the internal investigation and cooperated with the SEC's investigation, including waiving its attorney-client privilege over communications during the relevant time period.",A2WGW5Y3ZFBDEC,Yes,2015-04-07 23:54:58 UTC
3OWZNK3RYLPSC20VLPGBBITJJ4N2UK,8,BRISTOW,"Bristow's internal investigation started following an October 2004 company management meeting at which its newly-appointed CEO heard a comment suggesting that payments may had been made to government officials in Nigeria.  The CEO reported it immediately to the audit committee and contacted outside counsel.  The audit committee hired independent counsel, which conducted the internal investigation.  Bristow Group then self-disclosed the violations to the SEC and instituted measures to improve its compliance program.",A27PBC5O3Z5ZED,Yes,2015-04-07 23:44:48 UTC
3S829FDFT217WGS6NJBFR8JRADSXDF,9,CHIQUITA,"The SEC acknowledged that Chiquita's policies and procedures contain strict guidelines regarding the use of discretionary expenses accounts.  In 1996, Chiquita's internal auditing staff notified management of a number of instances where Banadex had failed to provide documentation regarding discretionary expenses, as required by Chiquita's internal accounting control procedures.  Chiquita had strict policies prohibiting improper payments to customs officials and the company monitored and enforced those policies by requiring the quarterly identification and disclosure of all payments to government officials or employees, political candidates, or political parties. In contravention of Chiquita policy, Banadex failed to identify and disclose the USD 30,000 in payments on the disclosure forms submitted for the relevant quarters.  In April 1997, Chiquita's internal audit staff uncovered the payments during an audit review of Banadex.  Chiquita conducted an internal investigation and took corrective action, including terminating the responsible Banadex employees and reinforcing its internal controls with respect to its Colombian operations.  Chiquita voluntarily disclosed the matter to the SEC.",A2WGW5Y3ZFBDEC,Yes,2015-04-07 23:39:26 UTC
3ZG552ORAM4SPHPVQFQG74V2XBW2V9,10,CONTROL SYSTEMS SPECIALIST,"The DOJ charged CSS and Crites with conspiracy to violate the FCPA, substantive violations of the FCPA, and bribery of a U.S. public official in connection with improper payments made to a Lieutenant Colonel in the Brazilian Air Force (the BAF Lt. Col.) between 1995-1996 in order to secure sales of surplus military equipment to the Brazilian Aeronautical Commission (""BAC"").  According to the Criminal Information, CSS and Crites made the agreement with the BAF Lt. Col. with the assistance of a U.S. Air Force civilian employee serving as the Command Country Manager for Brazil at the Wright Patterson Air Force in Ohio (the Country Manager).  Under the arrangement, the Country Manager provided Crites with surplus part numbers, model numbers, and U.S. military sources of surplus parts, in exchange for payments of money.  Crites then purchased the surplus equipment identified by the Country Manager, reconditioned it, and resold the same to the BAC.  The BAF Lt. Col. approved the purchases from CSS in exchange for payments of money.  Later, Crites and the Country Manager prepared and submitted bids to the BAC through the BAF Lt. Col., which involved additional improper payments.  Crites subsequently paid the BAF Lt. Col. a series of improper payments, disguised as consultant fees, for each bid accepted.Crites, through CSS and another company listed the Criminal Information as Company Y, arranged at least 44 purchases of surplus U.S. military equipment for repair and resale to the BAC.  Following each purchase, the BAF Lt. Col. was paid for his approval of the transaction.  Between 1994 and 1996, CSS, Crites and other unnamed individuals paid a total of USD 99,000 to the Country Manager and a total of USD 257,139 to the BAF Lt. Col.",A2WGW5Y3ZFBDEC,No,2015-04-07 23:51:52 UTC
3MXX6RQ9EV5PNB7M8H05UR3IV1RP47,11,CON-WAY,"Con-way uncovered potential FCPA violations at Emery Transnational in early 2003, after Menlo Forwarding increased Emery Transnational's internal reporting requirements in January 2003, including requiring the company to begin reporting its income and expenses in addition to its net profits.  Menlo Forwarding employees noticed unusually high customs and airline-related expenditures as a result of reviewing Emery Transnationals records.  Menlo Forwarding conducted an internal investigation into the matter and, based on this investigation, Con-way initiated a broader review of all of Menlo Forwarding's foreign businesses.  Con-way voluntarily disclosed the potential FCPA violations to the SEC.  After completing its internal investigation, Con-way imposed enhanced financial reporting and compliance requirements on Emery Transnational.  In addition, Menlo Forwarding terminated a number of Emery Transnational employees involved in the misconduct.  Con-way also strengthened its regulatory compliance program and provided additional FCPA training and education to its employees.",AG0X3PQK2FWQJ,Yes,2015-04-07 23:43:55 UTC
